name,degree,duration,department,city,state,credit,toefl,description,gpa,areas,payment_type,payment_per_unit,total_payment,living_costs_min,living_costs_max
Masters in Business Analytics,M.Sc.,12,Hult International Business School,San Francisco,California,0,80,"<p>In this new world of information overload, employers actively seek candidates who have the ability to translate data into actionable solutions. The&nbsp;Masters in Business Analytics at&nbsp;Hult International Business School&nbsp;&nbsp;will place you at the intersection of statistical analysis and business knowledge so that you can make meaningful, impactful contributions to any business.</p><h4>How assessment works</h4><p>Hult&rsquo;s grading system is intended to encourage and acknowledge academic achievement while promoting a growth mindset. The system is based on principles of fairness and transparency, and faculty award grades based upon established criteria that you&rsquo;ll find in your course syllabus. Course grades at Hult usually involve a combination of assessments such as case analysis, examinations, presentations, and other types of team and individual assessments.</p>",3.0,"Business Intelligence & Analytics,Business Information Systems,Data Science & Big Data",3,47500,47500,2206,4119
Robotics and Autonomy,M.Sc.,24,Drexel University College of Engineering,Philadelphia,Pennsylvania,45.0,100,"<p>&nbsp;This MS degree is built upon four foundational concepts in robotics: perception, cognition, control, and action.&nbsp;</p><h4>Roughly, these four capabilities comprise:</h4><ul><li>&nbsp;1) obtaining data from the robot&rsquo;s surroundings (perception);</li></ul><ul><li>&nbsp;2) reasoning about how that data yields information about the robot&rsquo;s environment (cognition);&nbsp;</li></ul><ul><li>3) mapping environmental information to a decision about how to react to the environment (control); and</li><li>&nbsp;4) translating that reaction decision into movement and an interaction with the physical environment (action).</li></ul><p>The&nbsp;&nbsp;Robotics and Autonomy program from&nbsp;Drexel University&nbsp;is an interdepartmental program in Drexel&rsquo;s College of Engineering that educates and trains students in the theory, integration, and practical application of the core engineering and computer science disciplines that comprise robotics and autonomy. To be admitted, students must have a bachelor&rsquo;s degree in a STEM field or demonstrate that they have acquired sufficient experience in a technical field to be able to satisfactorily complete engineering studies at the graduate level.</p>",3.0,"Robotics,Human Computer Interaction,Artificial Intelligence",1,1342,60390.0,1313,2284
Computer Engineering,M.Sc.,24,Drexel University College of Engineering,Philadelphia,Pennsylvania,45.0,100,"<p>The&nbsp;Computer Engineering programme from&nbsp;Drexel University&nbsp;has a&nbsp;&nbsp;curriculum designed to:</p><ul><li>&nbsp;(1) address the needs of students with a variety of different backgrounds;&nbsp;</li><li>(2) ensure that graduates will have adequate knowledge and skills in at least one area of specialization;&nbsp;</li><li>(3) meet the immediate needs of working students as well as to adequately prepare full-time students for a real-world technological environment; and&nbsp;</li><li>(4) equip students with tools to grasp and develop new technologies and trends.</li></ul><h4>Key facts:</h4><p>Up to but not exceeding 9.0 research/thesis credits may be taken by students who choose to write a master&#039;s thesis. Students who elect a non-thesis option are also encouraged to engage in research, by registering for supervised research credits (not to exceed 9.0 credits).</p><p>Students within the Master of Science in Computer Engineering are eligible to take part in the Graduate Coop Program, which combines classroom coursework with a 6-month, full-time work experience.</p><p>The MS in Computer Engineering curriculum encompasses completion of a minimum of 45 graduate quarter credit hours, chosen in accordance with the following requirements. Students are encouraged to compose a plan of study, in consultation with&nbsp;the graduate advisors&nbsp;and the student&#039;s supervising professor (if applicable).</p>",3.0,"General Engineering & Technology,Computer Sciences,Software Engineering",1,1342,60390.0,1313,2284
Geographic Information Systems,M.Sc.,24,University of Maryland Baltimore County (UMBC),Baltimore Highlands,Maryland,60.0,100,"<h4>Program Overview</h4><p>This forward-looking program is developing the next generation of GIS professionals: those that have a fundamental understanding of the importance of geography as well as an advanced knowledge of the technologies involved in the end-to-end development of advanced Geographic Information Systems.</p><p>The two-year&nbsp;Geographic Information Systems&nbsp;program at&nbsp;University of Maryland Baltimore County&nbsp;provides students with the knowledge, tools and techniques of database management, application development, and analytical assessment to appropriately address GIS requirements and answer spatial questions. Upon completing the program, students will be able to demonstrate technical leadership in planning, implementing, and managing the enterprise GIS.</p>",3.0,Geographical Information Systems (GIS),1,1132,67920.0,0,0
Analytics,M.Sc.,12,"Kogod School of Business, American University Washington DC","Washington, D. C.","Washington, D.C.",33.0,100,"<p>The Analytics program from American University Washington DC incorporates data analysis best practices related to fiscal performance and operational effectiveness into the curriculum. If you are interested, we also offer the equivalent of the MS in Analytics Online.&nbsp;</p><p>Students in the MSAn program learn evidence-based data gathering, data modeling, and quantitative analysis, as well as how to implement these tools to provide businesses with competitive advantages. Students gain skills to work in business intelligence, financial analysis, marketing, and consulting.</p><h4>Extensive Career Opportunities</h4><p>Kogod&#039;s home in the nation&#039;s capital offers you access to extensive internship and employment opportunities.</p><p>When you enroll in the MS analytics program, you&#039;ll also join a wide-ranging professional network in the DC metro region and beyond.</p><p>The Office of Career Engagement offers additional career support, providing one-on-one guidance on job searching, crafting your resume, relationship building, and transitioning to new business careers. The center is committed to helping both you &mdash; and your future employer &mdash; meet your goals.&nbsp;</p>",3.0,"Business Intelligence & Analytics,Forensic Accounting,Data Science & Big Data",1,1812,59796.0,1705,2975
Statistics and Data Science - Accelerated Master's Program,M.Sc.,12,The University of Arizona,Tucson,Arizona,30.0,79,"<h4>Key Features</h4><p>The Statistics and Data Science - Accelerated Master&#039;s Program from University of Arizona supports and encourages the central role of statistical and quantitative thinking in the biological, physical, engineering, financial, and social sciences.</p><p>Necessary training is provided for students to develop core expertise in statistical theory and methodology, and also for students who will apply their statistical knowledge in practical, transdisciplinary research; targeted subject-matter specialties include, but are not limited to biometry, bioinformatics, biostatistics, econometrics &amp; financial statistics, educational statistics, operations research &amp; applied probability, psychometrics, spatial/spatio-temporal analysis, statistical genetics/genomics, stochastic modeling, and quantitative risk assessment.</p>",3.3,"Finance,Statistics,Data Science & Big Data",2,33600,33600.0,830,1140
Computer Engineering,M.Sc.,12,University of Maryland Baltimore County (UMBC),Baltimore Highlands,Maryland,30.0,100,"<h4>Program Overview</h4><p>Faculty in this Computer Engineering program at&nbsp;University of Maryland Baltimore County&nbsp;conduct research developing new platforms and methods to address many of the challenges posed by today&rsquo;s data-rich applications, especially addressing problems in the complex and big data realm.&nbsp;</p><p>The application domains are many and include problems in medical image analysis and data fusion, remote sensing, image processing for hyperspectral data, cognitive radio networks and future power systems (smart grids).</p>",3.0,Computer Sciences,1,1132,33960.0,0,0
Software Engineering,M.Sc.,12,University of Michigan - Dearborn,Dearborn,Michigan,30.0,84,"<p>The curriculum of the&nbsp;Software Engineering program of &nbsp;University of Michigan - Dearborn&nbsp;consists of required core courses and technical electives, providing opportunities to design and implement embedded systems and large-scale software systems.</p><p>The program may be completed entirely on campus, entirely online, or through a combination of on-campus and online courses.</p><p>Students with an interest in pursuing doctoral studies or working in a research and development environment are encouraged to elect the thesis option.</p><h4>Learning Goals</h4><ul><li><p>Students will be able to use mathematical and scientific techniques to solve software engineering problems</p></li><li><p>Students will be able to formulate problems, design experiments, collect, verify, validate, analyze, and interpret data and use this knowledge to design a reliable system, component, or process to meet requirements</p></li><li><p>Students will be able to use the techniques, skills, and modern software tools necessary for reliable and robust software engineering practice</p></li><li><p>Students will be able to recognize a problem, evaluate different methods and use software engineering principles to derive a feasible solution&nbsp;</p></li></ul>",3.0,"General Engineering & Technology,Computer Sciences,Software Engineering",1,1437,43110.0,1000,1500
Computer Science,M.Sc.,12,University of Idaho,Moscow,Idaho,30.0,79,"<p>As a graduate student in this exciting field, you will gain an in-depth understanding of the limitations and opportunities in the use of computers to solve problems. You will work alongside faculty on leading research and explore high-level concepts in areas like computational biology, network security, computer architecture and network design.</p><p>The Computer Science program is delivered at&nbsp;University of Idaho.</p><h4>&nbsp;Degree Fit</h4><p>This Computer Science program at&nbsp;University of Idaho could be a good fit if you:</p><ul><li>Have a strong foundation in mathematics and computer science</li><li>Want to conduct research in the field</li><li>Like to solve complicated puzzles</li><li>Have a strong work ethic</li><li>Work well independently and as part of a team</li></ul>",3.0,"Computer Sciences,Artificial Intelligence",2,29112,29112.0,750,1100
Information Systems,M.Sc.,12,University of Michigan - Dearborn,Dearborn,Michigan,30.0,84,"<p>The Information Systems program of University of Michigan - Dearborn&nbsp;&nbsp;will prepare you to manage information systems functions, as well as the organizational challenges facing information systems managers. If you have a background in fields such as information technology management, computer science, electronics engineering -- or even if you simply have an aptitude for information technology -- we welcome your application.&nbsp;</p><p>The program is offered on campus, and a few of the courses are also occasionally available on-line. You may enroll on a full- or part-time basis during the fall and winter semesters, and some courses are often available during the summer. The program usually can be completed within 12 months of full-time study.</p><h4>Program Goals and Objectives</h4><p><strong>Goal 1: </strong>MS-Information Systems students will acquire discipline-specific knowledge and competencies.</p><p>Objectives: MS-Information Systems students will:</p><ul><li>Design an information system for an organization.</li></ul><ul><li>Evaluate security risks of an organization.</li></ul><ul><li>Use data to provide solutions to business questions.</li></ul><p><strong>Goal 2:</strong> MS-Information Systems students will develop effective communication skills.</p><p>Objectives: MS-Information Systems students will:</p><ul><li>Communicate complex information technology concepts orally.</li></ul><ul><li>Communicate complex information technology concepts effectively in writing.</li></ul>",3.0,Informatics & Information Sciences,1,1437,43110.0,1000,1500
